,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_pesquisa
125,Aluga - Se Casa Com 2 Quartos em Samambaia Norte,60 m² área total 60 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 900,"Quadra QR 405 Conjunto 24, Samambaia Norte, Samambaia",,,,27-07-20
126,Estância Mestre Darmas 4 Módulo 14 Casa 11,120 m² área total 120 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 900,"Estancia Mestre D Armas IV, Planaltina",,,,27-07-20
127,Casa - Setor De Habitações Individuais Sul,1200 m² área total 650 m² área útil 8 Quartos 30 Vagas,R$ 30.000,"QUADRA SHIS QL 12, Lago Sul, Brasília",,,,27-07-20
128,"Aluga - Se Ótima Casa De 2 Quartos no Jardins Mangueiral (Qc - 11), no Valor De R$1.800",70 m² área total 70 m² área útil 2 Quartos 2 Vagas,R$ 1.800,"Jardins Mangueiral, São Sebastião",,,,27-07-20
129,Alugado!,100 m² área total 100 m² área útil 3 Quartos 2 Vagas,R$ 3.000,"Jardins Mangueiral, São Sebastião",,,,27-07-20
130,Alugado!,67 m² área total 67 m² área útil 2 Quartos 2 Vagas,R$ 1.900,"Jardins Mangueiral, São Sebastião",,,,27-07-20
131,Casa Aluguel Pirenopolis Alto Padrão Centro Garagem,5 Quartos 2 Vagas,R$ 6.000,"Centro, Pirenópolis",,,,27-07-20
132,Linda Casa na Ql 28 Lago Sul,1200 m² área total 4 Quartos 3 Vagas,R$ 25.000,"Lago Sul, Brasília",,,,27-07-20
133,Casa para Locação na 703 Norte,92 m² área total 92 m² área útil 0 Quartos,R$ 1.000,"QD Sclrn 703 44, Asa Norte, Brasília",,,,27-07-20
134,Belíssima Residência no Lago Sul - Qi 25,1500 m² área total 980 m² área útil 5 Quartos 6 Banheiros 4 Vagas,R$ 28.000,"Quadra Shis Qi 25 0, Lago Sul, Brasília",,,,27-07-20
135,"Casa para Aluguel - Guará, 2 Quartos, 120 m²",120 m² área total 120 m² área útil 2 Quartos 1 Banheiro 4 Vagas,R$ 2.100,"Qe 30 Conjunto B, Centro, Guará",,,,27-07-20
136,Park Way - Quadra 26,8600 m² área total 1200 m² área útil 5 Quartos 7 Banheiros 8 Vagas,R$ 13.000,"Quadra SMPW Quadra 26 0, Park Way, Brasília",,,,27-07-20
137,Taguatinga Norte - Qnl 19 Cj. F Cs. 16,200 m² área total 200 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 2.200,"Taguatinga Norte, Taguatinga",,,,27-07-20
138,Alugo Casa Com 02 Quartos na Quadra 08 Conj. C De Sobradinho - Df,2 Quartos 1 Banheiro 1 Vaga,R$ 1.500,"Quadra 8 Conjunto C Casa 18 Res. 02 , Sobradinho, Sobradinho",,,,27-07-20
139,Linda Casa Qi 03 Lago Sul,1500 m² área total 450 m² área útil 4 Quartos 3 Banheiros 3 Vagas,R$ 12.900,"SHIS QI 03 , Lago Sul, Brasília",,,,27-07-20
140,"Qd 404, Casa Com 2 Dormitórios para Alugar, 70 m² Por R$900/mês - Recanto Das Emas - Recanto Das em",150 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Quadra Quadra 404 Conjunto 6 0, Recanto das Emas, Recanto das Emas",,,,27-07-20
141,Casa - Valparaiso II,242 m² área total 242 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.700,"Valparaiso II, Valparaíso de Goiás",,,,27-07-20
142,"Casa para Aluguel - Setor Pedro Ludovico, 6 Quartos, 430 m²",430 m² área total 430 m² área útil 6 Quartos 6 Banheiros 5 Vagas,R$ 4.940,"Rua 1016, Setor Pedro Ludovico, Goiânia",,,,27-07-20
143,Casa para Aluguel - Nos Jardins Madri,376 m² área total 300 m² área útil 4 Quartos 4 Banheiros 6 Vagas,R$ 3.000,"Rua Madri 26 00, Jardins Madri, Goiânia",,,,27-07-20
144,Casa - Setor De Habitações Individuais Norte,900 m² área total 519 m² área útil 4 Quartos 7 Banheiros 4 Vagas,R$ 8.800,"Lago Norte, Brasília",,,,27-07-20
145,Arapoangas 2 Quartos Sozinha no Lote!,200 m² área total 65 m² área útil 0 Quartos 2 Banheiros 4 Vagas,R$ 700,"Arapoanga, Planaltina",,,,27-07-20
146,"Casa Com 4 Dormitórios para Alugar, 254 m² Por R$1.800,00/mês - Setor Sul - Goiânia/go",444 m² área total 254 m² área útil 4 Quartos,R$ 1.800,"Setor Sul, Goiânia",,,,27-07-20
147,Ville De Montagne - 5 Suítes - Mobiliada - Lazer!,1600 m² área total 900 m² área útil 5 Quartos 7 Banheiros 4 Vagas,R$ 13.000,"Ville de Montagne, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
148,"Casa para Aluguel - Anhanguera, 4 Quartos, 180 m²",180 m² área total 180 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 1.660,"Rua Coelho Neto, Anhangüera, Goiânia",,,,27-07-20
149,Qnb 14 - 3 Quartos Suíte,70 m² área total 70 m² área útil 3 Quartos 2 Banheiros 1 Vaga,R$ 1.900,"QD Qnb 14 , Taguatinga Norte, Taguatinga",,,,27-07-20
150,Qnd 39 Lote 03,60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 950,"QND 39 03, Taguatinga Norte, Taguatinga",,,,27-07-20
151,Casa para Aluguel - na Vila Abajá,180 m² área total 160 m² área útil 3 Quartos 3 Banheiros 4 Vagas,R$ 1.200.000,"Vila Abajá, Goiânia",,,,27-07-20
152,Vende - Se Casa na Asa Sul,240 m² área total 220 m² área útil 5 Quartos 2 Banheiros 1 Vaga,Consultar preço,"Asa Sul, Brasília",,,,27-07-20
153,Casa - Setor Central,270 m² área total 353 m² área útil 5 Quartos 2 Banheiros 3 Vagas,R$ 4.900,"Av. Tocantins, N°324, Qd. 19, Lt. 44, s/n, Setor Central, Goiânia",,,,27-07-20
154,Casa - Setor Marista,300 m² área total 200 m² área útil 3 Quartos 5 Banheiros 4 Vagas,R$ 5.000,"Rua 1139, s/n, Setor Marista, Goiânia",,,,27-07-20
155,Casa - Vila União,98 m² área total 98 m² área útil 3 Quartos 2 Banheiros 1 Vaga,R$ 1.300,"Rua U 42, 1, Vila Uniao, Goiânia",,,,27-07-20
156,Casa - Itapuã,90 m² área total 90 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 900,"Alameda Pedro Ludovico, 1, Itapua, Aparecida de Goiânia",,,,27-07-20
157,Casa - Setor Bueno,246 m² área total 155 m² área útil 4 Quartos 3 Banheiros 2 Vagas,R$ 4.000,"Rua T 58 Qd 117, 310, Setor Bueno, Goiânia",,,,27-07-20
158,Casa - Setor Marista,467 m² área total 300 m² área útil 3 Quartos 4 Banheiros 4 Vagas,R$ 5.500,"Rua 1130, 44, Setor Marista, Goiânia",,,,27-07-20
159,Casa no Residencial Alphaville Flamboyant - Resid,745 m² área total 500 m² área útil 4 Quartos 6 Banheiros 4 Vagas,R$ 15.000,"Rua Pau Cetim, 1, Residencial Alphaville Flamboyant, Goiânia",,,,27-07-20
160,Casa - Parque Amazônia,496 m² área total 218 m² área útil 4 Quartos 4 Banheiros 2 Vagas,R$ 2.950,"Rua Córdoba, s/n, Parque Amazônia, Goiânia",,,,27-07-20
161,Casa - Setor Marista,420 m² área total 247 m² área útil 5 Quartos 4 Banheiros 2 Vagas,R$ 5.000,"Rua 13, 929, Setor Marista, Goiânia",,,,27-07-20
162,Casa - Setor Leste Vila Nova,70 m² área total 70 m² área útil 2 Quartos 1 Banheiro,R$ 800,"Avenida 200, 1114, Setor Leste Vila Nova, Goiânia",,,,27-07-20
163,Casa - Setor Aeroporto,420 m² área total 213 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.800,"Rua 29 A, Nº. 418, Setor Aeroporto, Goiânia",,,,27-07-20
164,Casa - Parque Amazônia,80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 700,"Rua Jari, s/n, Parque Amazônia, Goiânia",,,,27-07-20
165,Casa - Setor Bueno,350 m² área total 284 m² área útil 4 Quartos 5 Banheiros 5 Vagas,R$ 5.500,"Avenida T 11, s/n, Setor Bueno, Goiânia",,,,27-07-20
166,"Casa para Aluguel - Jardim América, 3 Quartos, 120 m²",120 m² área total 120 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 1.600,"Rua C138, Jardim América, Goiânia",,,,27-07-20
167,"Sobrado para Alugar, 3 Quartos, Setor Sudoeste",367 m² área total 165 m² área útil 3 Quartos 2 Banheiros 4 Vagas,R$ 2.600,"Setor Sudoeste, Goiânia",,,,27-07-20
168,Casa - Setor Bueno,246 m² área total 155 m² área útil 4 Quartos 3 Banheiros 2 Vagas,R$ 4.000,"Rua T 58 Qd 117, 310, Setor Bueno, Goiânia",,,,27-07-20
169,Casa - Setor Oeste,320 m² área total 320 m² área útil 3 Quartos 2 Banheiros 4 Vagas,R$ 4.200,"Avenida R 11, 589, Setor Oeste, Goiânia",,,,27-07-20
170,Casa,2 Quartos 0 Banheiros 1 Vaga,R$ 850,"Rua V 7 Esquina Com V10 AP 03 Qd V19 Lt22, 385, Centro, Goiânia",,,,27-07-20
171,Casa no Portal Do Sol Green - Fazenda Vau Das Pom,455 m² área total 252 m² área útil 3 Quartos 4 Banheiros 2 Vagas,R$ 4.700,"Rodovia GO 020, sn, Fazenda Vau das Pombas, Goiânia",,,,27-07-20
172,Casa - Jardim Planalto,200 m² área total 200 m² área útil 3 Quartos 3 Banheiros 5 Vagas,R$ 1.700,"Rua Abará, 0001, Jardim Planalto, Goiânia",,,,27-07-20
173,Casa - Jardim Alto Paraíso,220 m² área total 72 m² área útil 2 Quartos 2 Banheiros 2 Vagas,R$ 700,"Rua São Mateus, s/n, Jardim Alto Paraíso, Aparecida de Goiânia",,,,27-07-20
174,Casa - Jardim América,500 m² área total 350 m² área útil 4 Quartos 3 Banheiros 3 Vagas,R$ 2.100,"Avenida C 104, s/n, Jardim América, Goiânia",,,,27-07-20
175,Casa no Residencial Alphaville Flamboyant - Resid,745 m² área total 500 m² área útil 4 Quartos 6 Banheiros 4 Vagas,R$ 15.000,"Rua Pau Cetim, 1, Residencial Alphaville Flamboyant, Goiânia",,,,27-07-20
176,Casa - Jardim Helvécia,100 m² área total 100 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.300,"Rua Ecocatu Qd 60 Lt 08, s/n, Jardim Helvécia, Aparecida de Goiânia",,,,27-07-20
177,Casa - Jardim Alto Paraíso,2 Quartos 2 Banheiros 2 Vagas,R$ 700,"Rua São Mateus, s/n, Jardim Alto Paraíso, Aparecida de Goiânia",,,,27-07-20
178,Casa - Jardim América,379 m² área total 148 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 1.900,"Rua C 174, 1691, Jardim América, Goiânia",,,,27-07-20
179,Shis Ql 28 - Linda Casa Desocupada,1200 m² área total 750 m² área útil 4 Quartos 7 Banheiros 3 Vagas,R$ 25.000,"QD Shis Ql 28 1, Lago Sul, Brasília",,,,27-07-20
180,Casa - Setor Bueno,100 m² área total 100 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 750,"Avenida T 3, 001, Setor Bueno, Goiânia",,,,27-07-20
181,Casa para Aluguel na Melhor Quadra Do Park Way,395 m² área total 395 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 6.900,"Park Way, Brasília",,,,27-07-20
182,Lindo Sobrado,1000 m² área total 600 m² área útil 5 Quartos 3 Banheiros,R$ 5.500,"Samambaia Sul, Samambaia",,,,27-07-20
183,Rones Moreira: Aluga Excelente Sobrado na Quadra 418 em Santa Maria - Df,350 m² área total 200 m² área útil 3 Quartos 2 Banheiros 8 Vagas,R$ 1.200,"Santa Maria, Santa Maria",,,,27-07-20
184,"Casa Com 3 Dormitórios para Alugar, 179 m² Por R$3.100,00/mês - Setor De Habitações Individuais Sul",1363 m² área total 179 m² área útil 3 Quartos 3 Banheiros 9 Vagas,R$ 3.100,"Condomínio Ouro Vermelho I 0, Lago Sul, Brasília",,,,27-07-20
185,"Casa para Aluguel - Taguatinga, 2 Quartos, 120 m²",120 m² área total 120 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 1.200,"Qnl 17, Taguatinga Centro, Taguatinga",,,,27-07-20
186,"Qe 32 Conjunto I, Casa Térrea Com 03 Quartos Sendo 01 Suíte, Guara II",160 m² área total 160 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 2.300,"QE 32 - GUARA II, Guara II, Guará",,,,27-07-20
187,Alugado!,70 m² área total 70 m² área útil 2 Quartos 2 Vagas,R$ 1.800,"Jardins Mangueiral, São Sebastião",,,,27-07-20
188,Cruzeiro Velho - Sres Quadra 01 - Casa 02 Quartos!,60 m² área total 60 m² área útil 2 Quartos 1 Banheiro,R$ 1.550,"Cruzeiro Velho, Cruzeiro",,,,27-07-20
189,"Casa para Aluguel - Águas Claras, 5 Quartos, 805 m²",805 m² área total 805 m² área útil 5 Quartos 5 Banheiros 2 Vagas,R$ 13.500,"Smpw Quadra 5 Conjunto 13, Centro, Brasília",,,,27-07-20
190,Casa para Aluguel - na Cidade Jardim,287 m² área total 287 m² área útil 3 Quartos 1 Banheiro 4 Vagas,R$ 1.300,"Cidade Jardim, Goiânia",,,,27-07-20
191,Ml 10 - Lago Norte - Propriedade Espetacular Às Margens Do Lago,15000 m² área total 15000 m² área útil 4 Quartos 12 Banheiros 3 Vagas,R$ 40.000,"Lago Norte, Brasília",,,,27-07-20
192,Mi 06 - Excelente Casa Com 7 Suítes?,5000 m² área total 600 m² área útil 5 Quartos 8 Banheiros,R$ 15.000,"QUADRA SMLN MI TRECHO 06 CONJUNTO 1, Lago Norte, Brasília",,,,27-07-20
193,Qnl 15 - 03 Quartos - Taguatinga Norte,120 m² área total 120 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.100,"Taguatinga Norte, Taguatinga",,,,27-07-20
194,Casa 2 Qtos + 1 Reversível - Qnm 06,150 m² área total 140 m² área útil 3 Quartos 1 Banheiro 3 Vagas,R$ 1.350,"QNM 6 Conjunto L , Ceilandia Norte, Ceilândia",,,,27-07-20
195,Casa Condomínio Mobiliado 4 Quartos 4 Banheiros,190 m² área total 190 m² área útil 4 Quartos 4 Banheiros 3 Vagas,R$ 3.500,"Jardim América, Goiânia",,,,27-07-20
196,Moderna E Iluminada,696 m² área total 600 m² área útil 4 Quartos 4 Vagas,R$ 12.000,"Condomínio Solar de Brasília, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
197,"Sobrado Village Alvorada,5 Stes, 4sls, Pisc - Lote 1600 m, Obra 890 m - 19 Mil C/móveis",1600 m² área total 890 m² área útil 5 Quartos 5 Banheiros 5 Vagas,R$ 19.000,"Lago Sul, Brasília",,,,27-07-20
198,Shin 04,1200 m² área total 800 m² área útil 4 Quartos 8 Banheiros 4 Vagas,R$ 13.000,"SHIN QI 4, Lago Norte, Brasília",,,,27-07-20
199,Casa - Setor Habitacional Contagem,3 Quartos 4 Vagas,R$ 2.700,"RODOVIA DF-150 KM 4,5, Setor Habitacional Contagem, Sobradinho",,,,27-07-20
200,Qnl 13 Conjunto G Casa 01 - Frente,55 m² área total 55 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Centro, Taguatinga",,,,27-07-20
201,"Casa De Fundos Com 1 Quarto para Alugar, 50 m² Por R$600/mês - Taguatinga Norte - Taguatinga/df",50 m² área total 50 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 600,"Quadra QNM 38 Conjunto M 15, Taguatinga Norte, Taguatinga",,,,27-07-20
202,Qnn 22 01 Quarto,60 m² área total 60 m² área útil 1 Quarto 1 Banheiro 2 Vagas,R$ 600,"QNN 22 CONJUNTO B 43, Ceilandia Sul, Ceilândia",,,,27-07-20
203,"Casa para Aluguel - Taguatinga, 1 Quarto, 60 m²",60 m² área total 60 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 780,"Qnl 11 Bloco G, Taguatinga Centro, Taguatinga",,,,27-07-20
204,Alugo Casa Ml 10 Lago Norte Com Vista E Acesso Ao Lago,14466 m² área total 960 m² área útil 8 Quartos 8 Banheiros 2 Vagas,R$ 40.000,"SMLN ML 10 - LAGO NORTE, Lago Norte, Brasília",,,,27-07-20
205,Excelente Casa Com 05 Quartos E 04 Suites.,300 m² área total 250 m² área útil 5 Quartos 5 Banheiros 2 Vagas,R$ 2.300,"QD QNL 19 , Taguatinga Norte, Taguatinga",,,,27-07-20
206,Casa - Setor Leste (Gama),100 m² área total 100 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.610,"Centro, Gama",,,,27-07-20
207,Casa na Shis Qi 07 Lago Sul,800 m² área total 4 Quartos 3 Vagas,R$ 13.000,"Lago Sul, Brasília",,,,27-07-20
208,Qr 301 Conjunto B Casa,60 m² área total 60 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 710,"Santa Maria, Santa Maria",,,,27-07-20
209,Barraco para Aluguel - em Ceilandia Norte,25 m² área total 25 m² área útil 1 Quarto 1 Banheiro,R$ 400,"Ceilandia Norte, Ceilândia",,,,27-07-20
210,Casa - Samambaia Sul,2 Quartos 1 Vaga,R$ 650,"Samambaia Sul, Samambaia",,,,27-07-20
211,Oportunidade Guará 2 Qe 26,200 m² área total 200 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 590.000,"Guara II, Guará",,,,27-07-20
212,"Casa para Aluguel - Setor Jao, 3 Quartos, 180 m²",180 m² área total 180 m² área útil 3 Quartos 6 Banheiros 4 Vagas,R$ 3.251,"Rua J32, Setor Jaó, Goiânia",,,,27-07-20
213,"Casa para Aluguel - Jardim América, 4 Quartos, 254 m²",254 m² área total 254 m² área útil 4 Quartos 6 Banheiros 4 Vagas,R$ 4.500,"Rua C 167, Jardim América, Goiânia",,,,27-07-20
214,"Casa para Aluguel - Jardim América, 4 Quartos, 190 m²",190 m² área total 190 m² área útil 4 Quartos 4 Banheiros 3 Vagas,R$ 3.600,"Rua C162, Jardim América, Goiânia",,,,27-07-20
215,"Casa Com 3 Dormitórios para Alugar, 68 m² Por R$1.800/mês - Jardins Mangueiral",68 m² área total 68 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 1.800,"Quadra Qc 7 E 0, Jardins Mangueiral, São Sebastião",,,,27-07-20
216,Qe 42 Conjunto L Casa 02 Quartos,90 m² área total 90 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.400,"Guara II, Guará",,,,27-07-20
217,"Casa Residencial, 3 Quartos, Setor Coimbra",246 m² área total 246 m² área útil 3 Quartos 3 Banheiros 3 Vagas,R$ 2.200,"Setor Coimbra, Goiânia",,,,27-07-20
218,Qnh 04 Casa Reformada,90 m² área total 90 m² área útil 2 Quartos 2 Banheiros,R$ 1.100,"QNH 04 20, Taguatinga Norte, Taguatinga",,,,27-07-20
219,Qsc 22 Casa 09 Fundos (Superior),2 Quartos 2 Banheiros,R$ 800,"Centro, Taguatinga",,,,27-07-20
220,Guara I Qi 3 - 3 Quartos 2 Suítes,200 m² área total 180 m² área útil 3 Quartos 3 Banheiros 1 Vaga,R$ 1.800,"QD Qi 3 , Guara I, Guará",,,,27-07-20
221,Qnm 17 Conjunto B Casa 27,1 Quarto 1 Banheiro 3 Vagas,R$ 1.500,"Centro, Ceilândia",,,,27-07-20
222,Qsb 02 - 03 Quartos - Taguatinga Norte,88 m² área total 88 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.900,"Taguatinga Sul, Taguatinga",,,,27-07-20
223,Qnd 59 Lote 35 Parte Inferior Sobrado,3 Quartos 2 Banheiros 1 Vaga,R$ 1.400,"Centro, Taguatinga",,,,27-07-20
224,Qnl 01 Conjunto C Casa 08,3 Quartos 1 Banheiro 2 Vagas,R$ 1.250,"Centro, Taguatinga",,,,27-07-20
225,Qnq 04 Conjunto 11 (Terreo),55 m² área total 55 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 680,"Ceilandia Norte, Ceilândia",,,,27-07-20
226,Alugo Linda Casa em Vicente Pires - Mansão Do Lula,200 m² área total 200 m² área útil 5 Quartos 2 Banheiros 8 Vagas,R$ 5.999,"Vicente Pires, Vicente Pires",,,,27-07-20
227,Qnb 11 Lote 18 Superior De Trás,3 Quartos 1 Banheiro 1 Vaga,R$ 1.500,"Centro, Taguatinga",,,,27-07-20
228,Qsc 22 Casa 09 Fundos (Superior),2 Quartos 2 Banheiros,R$ 800,"Centro, Taguatinga",,,,27-07-20
229,Qnm 40 Conjunto C Casa 48 (Frente),3 Quartos 3 Banheiros 1 Vaga,R$ 1.000,"Centro, Taguatinga",,,,27-07-20
230,Qsc 15 Lote 21 Casa 02,3 Quartos 2 Banheiros 1 Vaga,R$ 1.200,"Centro, Taguatinga",,,,27-07-20
231,Qsb 13 Casa 01 Frente,4 Quartos 2 Banheiros 2 Vagas,R$ 1.450,"Centro, Taguatinga",,,,27-07-20
232,Aluga - Se Casa Com 3 Quartos em Ceilândia Norte,75 m² área total 75 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.200,"Quadra QNO 4 Conjunto I, Ceilandia Norte, Ceilândia",,,,27-07-20
233,Quadra 101 Conjunto 10 Casa 01 - Térreo - R. Das Emas,90 m² área total 90 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.100,"QUADRA 101 CONJUNTO 10 CASA 01 - TERREO , Centro, Brasília",,,,27-07-20
234,Linda Casa Qi 15,766 m² área total 453 m² área útil 4 Quartos 6 Banheiros 3 Vagas,R$ 15.000,"Lago Sul, Brasília",,,,27-07-20
235,Smdb Conjunto 5,2300 m² área total 1100 m² área útil 4 Quartos 8 Banheiros 10 Vagas,R$ 15.000,"Lago Sul, Brasília",,,,27-07-20
236,Smdb Conjunto 5,2300 m² área total 1100 m² área útil 4 Quartos 8 Banheiros 35 Vagas,R$ 15.000,"Lago Sul, Brasília",,,,27-07-20
237,Casa - Taguatinga Sul - Qsb 16 Casa 07,150 m² área total 150 m² área útil 6 Quartos 4 Banheiros 2 Vagas,R$ 4.500,"Centro, Taguatinga",,,,27-07-20
238,"Casa para Aluguel - Setor Central, 3 Quartos, 80 m²",80 m² área total 80 m² área útil 3 Quartos 2 Banheiros,R$ 1.050,"Rua Amapolis, Setor Central, Goiânia",,,,27-07-20
239,"Casa para Aluguel - Setor Sul, 2 Quartos, 50 m²",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro,R$ 900,"Rua 94b, Setor Sul, Goiânia",,,,27-07-20
240,"Casa para Aluguel - Setor Sul, 2 Quartos, 50 m²",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro,R$ 900,"Rua 94b, Setor Sul, Goiânia",,,,27-07-20
241,"Qnj 38, Excelente Casa Térrea, Taguatinga Norte",220 m² área total 220 m² área útil 4 Quartos 2 Banheiros 3 Vagas,R$ 2.300,"QNJ 38 CASA 07, Taguatinga Norte, Taguatinga",,,,27-07-20
242,"Casa para Aluguel - Setor Leste Vila Nova, 3 Quartos, 252 m²",252 m² área total 252 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 2.800,"Rua 227, Setor Leste Vila Nova, Goiânia",,,,27-07-20
243,"Casa para Alugar, 2 Quartos, Jardim Santo Antônio",70 m² área total 2 Quartos 1 Banheiro 1 Vaga,R$ 850,"Jardim Santo Antônio, Goiânia",,,,27-07-20
244,"Casa para Aluguel - Guará, 1 Quarto, 35 m²",35 m² área total 35 m² área útil 1 Quarto 1 Banheiro,R$ 800,"Qe 3, Centro, Guará",,,,27-07-20
245,Quadra Qr 3 Conjunto F,30 m² área total 30 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 860,"Quadra QR 3 Conjunto F, Centro, Candangolândia",,,,27-07-20
246,Shis Ql 28 Recém Reformada,1200 m² área total 700 m² área útil 4 Quartos 4 Banheiros,R$ 25.000,"Lago Sul, Brasília",,,,27-07-20
247,"Casa, Qna 09, Taguatinga Norte, 3 Quartos, Uma Suite, Dce, Garagem P/ 4 Carros",240 m² área total 240 m² área útil 3 Quartos 3 Banheiros 4 Vagas,R$ 3.900,"Taguatinga Norte, Taguatinga",,,,27-07-20
248,"Ql 26 - Alugue Esta Maravilhosa Casa na Melhor Localização Do Lago, Conforto E Segurança",1200 m² área total 682 m² área útil 4 Quartos 4 Vagas,R$ 25.000,"Lago Sul, Brasília",,,,27-07-20
249,Casa Setor De Habitações Individuais Sul,1320 m² área total 600 m² área útil 3 Quartos 3 Banheiros 4 Vagas,R$ 12.000,"SHIS QI 19, Lago Sul, Brasília",,,,27-07-20
250,"Casa para Aluguel - Guará, 3 Quartos, 180 m²",180 m² área total 180 m² área útil 3 Quartos 3 Banheiros,R$ 2.500,"Qe 17, Centro, Guará",,,,27-07-20
251,"Alugo Casa Mobiliada, Vista Livre no Qi 01 Guara I! 30341550",340 m² área total 340 m² área útil 3 Quartos 5 Banheiros 4 Vagas,R$ 4.950,"Guara I, Guará",,,,27-07-20
252,Casa Locação Parque Lago,300 m² área total 410 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 950,"RUA 65, Parque Lago, Formosa",,,,27-07-20
253,Casa - Setor De Habitações Individuais Sul,800 m² área total 600 m² área útil 4 Quartos 7 Banheiros 4 Vagas,R$ 20.000,"SHIS QL 22, Lago Sul, Brasília",,,,27-07-20
254,"Shis Qi 26 - 05 Suítes, Ponta De Picolé!",1087 m² área total 800 m² área útil 5 Quartos,R$ 18.000,"QUADRA SHIS QL 26 CONJUNTO 4, Lago Sul, Brasília",,,,27-07-20
255,"Casa para Alugar Com 2 Quartos, 80 m²",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.500,"Quadra Qe 32 Conjunto O 0, Guara II, Guará",,,,27-07-20
256,Sobrado Setor Sul,225 m² área total 225 m² área útil 4 Quartos 3 Banheiros 2 Vagas,R$ 2.000,"Rua 112 QUADRA F 35 LOTE 05 A Nº 61, Setor Sul, Goiânia-GO , Setor Sul, Goiânia",,,,27-07-20
257,"Casa para Aluguel - Setor Sul, 3 Quartos, 820 m²",820 m² área total 820 m² área útil 3 Quartos 2 Banheiros 6 Vagas,R$ 4.500,"Rua 89-e, Setor Sul, Goiânia",,,,27-07-20
258,Excelente Casa,120 m² área total 120 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 2.600,"Quadra QI 10 Conjunto Q 0, Guara I, Guará",,,,27-07-20
259,"Casa para Aluguel - Ceilândia, 3 Quartos, 170 m²",170 m² área total 170 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.082,"Qnm 23, Ceilandia Centro, Ceilândia",,,,27-07-20
260,"Casa para Aluguel - Setor Castelo Branco, 3 Quartos, 180 m²",180 m² área total 180 m² área útil 3 Quartos 2 Banheiros 8 Vagas,R$ 2.140,"Avenida T 3, Setor Castelo Branco, Goiânia",,,,27-07-20
261,Alugo Casa Com 4 Quartos na Qms 20 Casa 02 Setor De Mansões Sobradinho - Df,289 m² área total 289 m² área útil 4 Quartos 2 Banheiros 3 Vagas,R$ 2.000,"QMS 20 CASA 02 , Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
262,Ótima Casa na Qi 25 Com 4 Suítes,550 m² área total 550 m² área útil 4 Quartos 8 Banheiros 3 Vagas,R$ 12.000,"SHIS QI 25 Conjunto 09, Lago Sul, Brasília",,,,27-07-20
263,"Casa para Aluguel - Jardins Paris, 4 Quartos, 215 m²",215 m² área total 215 m² área útil 4 Quartos 6 Banheiros 2 Vagas,R$ 4.000,"Avenida Pio Correia - Condominio Ilha de Alegranza, Jardins Paris, Goiânia",,,,27-07-20
